	Cambridge Pink and Black Stripe				RHS Green Circle/Black Diamond			
Race	Pink(7, 8)		Black Stripe(10, 11)		Green Circle(7, 8)		Black Diamond(10, 11)	
1	Competitor_0	Competitor_6	Competitor_12	Competitor_18				
2					Competitor_3	Competitor_9	Competitor_15	Competitor_21
3	Competitor_0	Competitor_12	Competitor_6	Competitor_18				
4					Competitor_3	Competitor_15	Competitor_9	Competitor_21
5	Competitor_1	Competitor_7	Competitor_13	Competitor_19				
6					Competitor_4	Competitor_10	Competitor_16	Competitor_22
7	Competitor_1	Competitor_13	Competitor_7	Competitor_19				
8					Competitor_4	Competitor_16	Competitor_10	Competitor_22
9	Competitor_2	Competitor_8	Competitor_14	Competitor_20				
10					Competitor_5	Competitor_11	Competitor_17	Competitor_23
11	Competitor_2	Competitor_14	Competitor_8	Competitor_20				
12					Competitor_5	Competitor_17	Competitor_11	Competitor_23
13	Competitor_0	Competitor_7	Competitor_14	Competitor_21				
14					Competitor_3	Competitor_10	Competitor_17	Competitor_18
15	Competitor_0	Competitor_14	Competitor_7	Competitor_21				
16					Competitor_3	Competitor_17	Competitor_10	Competitor_18
17	Competitor_1	Competitor_8	Competitor_15	Competitor_22				
18					Competitor_4	Competitor_11	Competitor_12	Competitor_19
19	Competitor_1	Competitor_15	Competitor_8	Competitor_22				
20					Competitor_4	Competitor_12	Competitor_11	Competitor_19
21	Competitor_2	Competitor_9	Competitor_16	Competitor_23				
22					Competitor_5	Competitor_6	Competitor_13	Competitor_20
23	Competitor_2	Competitor_16	Competitor_9	Competitor_23				
24					Competitor_5	Competitor_13	Competitor_6	Competitor_20
25	Competitor_0	Competitor_1	Competitor_2	Competitor_3				
26					Competitor_12	Competitor_13	Competitor_14	Competitor_15
27	Competitor_0	Competitor_2	Competitor_1	Competitor_3				
28					Competitor_12	Competitor_14	Competitor_13	Competitor_15
29	Competitor_4	Competitor_5	Competitor_7	Competitor_8				
30					Competitor_16	Competitor_17	Competitor_19	Competitor_20
31	Competitor_4	Competitor_7	Competitor_5	Competitor_8				
32					Competitor_16	Competitor_19	Competitor_17	Competitor_20
33	Competitor_6	Competitor_9	Competitor_10	Competitor_11				
34					Competitor_18	Competitor_21	Competitor_22	Competitor_23
35	Competitor_6	Competitor_10	Competitor_9	Competitor_11				
36					Competitor_18	Competitor_22	Competitor_21	Competitor_23
37	Competitor_0	Competitor_4	Competitor_9	Competitor_13				
38					Competitor_3	Competitor_14	Competitor_19	Competitor_22
39	Competitor_0	Competitor_9	Competitor_4	Competitor_13				
40					Competitor_3	Competitor_19	Competitor_14	Competitor_22
41	Competitor_1	Competitor_5	Competitor_10	Competitor_12				
42					Competitor_7	Competitor_15	Competitor_20	Competitor_23
43	Competitor_1	Competitor_10	Competitor_5	Competitor_12				
44					Competitor_7	Competitor_20	Competitor_15	Competitor_23
45	Competitor_2	Competitor_6	Competitor_17	Competitor_21				
46					Competitor_8	Competitor_11	Competitor_16	Competitor_18
47	Competitor_2	Competitor_17	Competitor_6	Competitor_21				
48					Competitor_8	Competitor_16	Competitor_11	Competitor_18